기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국식품산업클러스터진흥원,기타공공기관,농림축산식품부,114,16,55396,225395,전라북도,0.1403508771929824,4.068795580908369
한국식품안전관리인증원,기타공공기관,식품의약품안전처,264,9,57720,181009,충청북도,0.034090909090909,3.135984060984061
한국양성평등교육진흥원,기타공공기관,성평등가족부,122,5,58077,170801,서울특별시,0.040983606557377,2.940940475575529
한국어촌어항공단,기타공공기관,해양수산부,245,37,55834,182923,서울특별시,0.1510204081632653,3.2761937170899453
한국언론진흥재단,기타공공기관,문화체육관광부,218,9,79906,163148,서울특별시,0.0412844036697247,2.041749055139789
한국에너지공단,준정부기관(위탁집행형),기후에너지환경부,755,43,69784,180905,울산광역시,0.0569536423841059,2.592356414077725
한국에너지기술평가원,기타공공기관,기후에너지환경부,197,21,85676,186798,서울특별시,0.1065989847715736,2.180283860124189
한국에너지정보문화재단,기타공공기관,기후에너지환경부,35,2,66512,133570,서울특별시,0.0571428571428571,2.008209044984364
한국여성과학기술인육성재단,기타공공기관,과학기술정보통신부,45,2,51333,167298,서울특별시,0.0444444444444444,3.259073110864356
한국여성인권진흥원,기타공공기관,성평등가족부,131,21,44957,147301,서울특별시,0.1603053435114503,3.27648642035723
한국여성정책연구원,기타공공기관,국무조정실,130,5,75887,,서울특별시,0.0384615384615384,
한국연구재단,준정부기관(위탁집행형),과학기술정보통신부,626,24,93520,195636,대전광역시,0.0383386581469648,2.0919161676646705
한국영상자료원,기타공공기관,문화체육관광부,98,3,55270,152030,서울특별시,0.0306122448979591,2.7506784874253665
한국예술인복지재단,기타공공기관,문화체육관광부,45,3,52903,125903,서울특별시,0.0666666666666666,2.379883938529006
한국원산지정보원,기타공공기관,관세청,48,3,53281,188394,경기도,0.0625,3.53585705973987
한국원자력안전기술원,기타공공기관,원자력안전위원회,631,27,108186,206843,대전광역시,0.0427892234548335,1.9119202114876237
한국원자력안전재단,기타공공기관,원자력안전위원회,83,3,76240,188012,경기도,0.036144578313253,2.4660545645330534
한국원자력의학원,기타공공기관,과학기술정보통신부,1378,83,88147,227903,서울특별시,0.0602322206095791,2.5854878782034554
한국원자력통제기술원,기타공공기관,원자력안전위원회,129,5,88497,189946,대전광역시,0.0387596899224806,2.146355243680577
한국원자력환경공단,준정부기관(위탁집행형),기후에너지환경부,412,21,82852,139910,경상북도,0.0509708737864077,1.6886737797518467
